subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	14	 6	 6	1	1873196	1875858	6	6	1
1	31	 7	 7	1	1883211	1884864	7	7	1
1	26	 2	 6	1	1892492	1894082	6	6	1
1	22	 6	 6	1	1906993	1908412	6	6	1
1	29	 5	 6	1	1928388	1929825	6	6	1
1	27	 3	 7	1	1944017	1945224	7	7	1
1	11	 3	 7	1	1952014	1954082	7	7	1
1	16	 8	 7	1	1995204	1996543	7	7	1
1	15	 7	 6	1	2003062	2004176	6	6	1
1	24	 8	 7	1	2011647	2013123	7	7	1
1	20	 4	 6	1	2053670	2055023	6	6	1
1	12	 4	 7	1	2062831	2064332	7	7	1
1	30	 6	 6	1	2092622	2093648	6	6	1
1	18	 2	 7	1	2107120	2108276	7	7	1
1	1	 1	 7	1	2142701	2143962	7	7	1
1	7	 7	 6	1	2157882	2160153	7	6	0
1	21	 5	 6	1	2168781	2170084	6	6	1
1	32	 8	 6	1	2177196	2178307	6	6	1
1	23	 7	 7	1	2192530	2193653	7	7	1
1	6	 6	 7	1	2220303	2221346	7	7	1
1	10	 2	 7	1	2235231	2236771	7	7	1
1	19	 3	 6	1	2267696	2269888	6	6	1
1	2	 2	 6	1	2276633	2278689	6	6	1
1	4	 4	 7	1	2304286	2305394	7	7	1
1	8	 8	 7	1	2317136	2318334	7	7	1
1	3	 3	 6	1	2327544	2328681	6	6	1
1	9	 1	 6	1	2347368	2348581	6	6	1
1	13	 5	 6	1	2379901	2381088	6	6	1
1	25	 1	 7	1	2393554	2394788	7	7	1
1	17	 1	 6	1	2402702	2404476	6	6	1
1	28	 4	 7	1	2411053	2412806	7	7	1
1	5	 5	 7	1	2433699	2435380	7	7	1
2	18	 3	 7	1	3354679	3357128	7	7	1
2	14	 7	 6	1	3364952	3367302	6	6	1
2	15	 8	 6	1	3393794	3396078	6	6	1
2	17	 2	 6	1	3410475	3412699	6	6	1
2	2	 3	 6	1	3419897	3421722	6	6	1
2	24	 1	 7	1	3435337	3436858	7	7	1
2	11	 4	 7	1	3443962	3445988	6	7	0
2	4	 5	 7	1	3452453	3454492	7	7	1
2	8	 1	 7	1	3462170	3463814	7	7	1
2	16	 1	 7	1	3471054	3472233	7	7	1
2	13	 6	 6	1	3498596	3499948	6	6	1
2	23	 8	 7	1	3513875	3515143	7	7	1
2	31	 8	 7	1	3527440	3528522	7	7	1
2	25	 2	 7	1	3535413	3536617	7	7	1
2	6	 7	 7	1	3554516	3555977	7	7	1
2	20	 5	 6	1	3566746	3568361	6	6	1
2	7	 8	 6	1	3574926	3576768	6	6	1
2	19	 4	 6	1	3595095	3596855	6	6	1
2	21	 6	 6	1	3619128	3620538	6	6	1
2	32	 1	 6	1	3653707	3655048	6	6	1
2	12	 5	 7	1	3673865	3675023	7	7	1
2	3	 4	 6	1	3693311	3694603	6	6	1
